Counter Presentation Path,Proposed Alias Naming
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Denominator2],ERAB Setup Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Numerator2],ERAB Setup Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Denominator1],ERAB Setup Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Setup Success Rate - Denominator3],ERAB Setup Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Drop Rate - Denominator],ERAB Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[ERAB Drop Rate - Numerator],ERAB Drop 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Minutes per Abnormal Release - Denominator],
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Minutes per Abnormal Release - Numerator],
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Session Setup Success Rate - Numerator],Session Setup Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Session Setup Success Rate - Denominator],Session Setup Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Preparation Success Rate - Numerator],HO Preparation Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Preparation Success Rate - Denominator],HO Preparation Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Execution Success Rate - Denominator],HO Execution Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Execution Success Rate - Numerator],HO Execution Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Success Rate - Denominator],HO Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[HO Success Rate - Numerator],HO Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Mobility Success Rate - Numerator1],Mobility Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Mobility Success Rate - Numerator2],Mobility Success 
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Mobility Success Rate - Denominator1],Mobility Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[Mobility Success Rate - Denominator2],Mobility Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[RRC Success Rate - Denominator],RRC Attempt
[Ericsson].[Ericsson PS 4G EUTCELL Hourly].[RRC Success Rate - Numerator],RRC Success 
[ALU].[ALU CS 2G CELL Hourly].[Call Drop Rate_Numerator],Call Drop 
[ALU].[ALU CS 2G CELL Hourly].[Call Drop Rate_Denominator],Call Attempt
[ALU].[ALU CS 2G CELL Hourly].[Call Setup Success Rate - 2G_Numerator1],Call Setup Success 
